NU_SO_EC;CNPJ;RAZAO_SOCIAL;NOME_FANTASIA;ENDEREÇO;COMPLEMENTO_ENDERECO;CIDADE;UF;CEP;DDD_01;FONE_01;FONE_02;PROPRIETARIO_01;MCC;DESCRICAO_MCC;VISITA SOLICITADA EM;address.postal_code;address.type;address.full_name;address.number;address.complement;address.reference;address.district;address.city;address.state;address.country
1003540900;48.892.582.000.194;EMPORIO 4 FILHOS LTDA EPP;SUPERMERCADO RODRIGUES;R PROFESSOR SUD MENUCCI 843;CIDADE MUNHOZ JARDIM ELVIRA;OSASCO;SP;6250250;11;36863331;973527883;ANA CLAUDIA SBRISSA;5411;Mercearias e Supermercados;17/06/2019 - SOFIE;6250250;;R PROFESSOR SUD MENUCCI 843;;CIDADE MUNHOZ JARDIM ELVIRA;;;OSASCO;SP;BRASIL
1003720649;3.446.057.000.107;SUPER 10 COM DE CARNES E MERC LT;SUPER 10;R ANGELO ALBERTO NESTI 83;TRAV AV FLORA BUSSOCABA;OSASCO;SP;6053060;11;35914618;0;LUCIANO MITSUO PALLADINO NAKAMUR;5411;Mercearias e Supermercados;17/06/2019 - SOFIE;6053060;;R ANGELO ALBERTO NESTI 83;;BUSSOCABA;TRAV AV FLORA;;OSASCO;SP;BRASIL
1004209395;52.885.464.000.126;SORV E CONFEITARIA KIOSQUE LTDA;KIOSQUE;AV. MAL RONDON, 127;CENTRO;OSASCO;SP;6093900;11;36820557;0;PAULO CESAR DE ANDRADE;5499;Miscelâneas - Conveniência / Delicatessens;17/06/2019 - SOFIE;6093900;;AV. MAL RONDON, 127;;CENTRO;;;OSASCO;SP;BRASIL
1004307885;3.481.466.000.144;DISTR DE PROD ALIM COELHO GOMES;SUPERMERCADO LOPESA;3 V ANALICE SAKATAUSKAS 132;VL NOVA OSASCO;OSASCO;SP;6060000;11;36881758;995466731;ANTONIO LOPES NETO;5411;Mercearias e Supermercados;17/06/2019 - SOFIE;6060000;;3 V ANALICE SAKATAUSKAS 132;;VL NOVA OSASCO;;;OSASCO;SP;BRASIL
1004474820;3.030.925.000.173;LA BUONAPASTA PROD ALIM LTDA;LA BUONAPASTA;AV SANTO ANTONIO 2504;VL OSASCO VILA OSASCO;OSASCO;SP;6083205;11;36811966;999036336;EDNA ASSUMPCAO VIUDES;5499;Miscelâneas - Conveniência / Delicatessens;17/06/2019 - SOFIE;6083205;;AV SANTO ANTONIO 2504;;VL OSASCO VILA OSASCO;;;OSASCO;SP;BRASIL
1004482482;71.812.689.000.105;MINI MERCADO ROJAO LTDA ME;SUPERMERCADO YUTAKA;AV GEN PEDRO PINHO 728;VL QUITAUNA;OSASCO;SP;6180180;11;36086757;0;NELSON YUTAKA FUKUSHIMA;5411;Mercearias e Supermercados;17/06/2019 - SOFIE;6180180;;AV GEN PEDRO PINHO 728;;VL QUITAUNA;;;OSASCO;SP;BRASIL
1004622870;61.781.340.000.191;PANIF CONF POMBINHA BRANCA LTDA;POMBINHA BRANCA;AV PADRE VICENTE MELILLO 1415;JARDIM NOVA AMERICA UMUARAMA;OSASCO;SP;6036016;11;36097037;0;JOAO FREITAS PEREIRA;5462;Padarias;17/06/2019 - SOFIE;6036016;;AV PADRE VICENTE MELILLO 1415;;JARDIM NOVA AMERICA UMUARAMA;;;OSASCO;SP;BRASIL
1004636730;48.893.523.000.130;CASA DE CARNES M MERCADO PROGRES;CASA CARNES M M PROGRES;AV JOSE BARBOSA DE SIQUEIRA 1;A JD. I PADROEIRA;OSASCO;SP;6172000;11;36097063;77209144;ANDERSON RODRIGUES PEREIRA;5411;Mercearias e Supermercados;17/06/2019 - SOFIE;6172000;;AV JOSE BARBOSA DE SIQUEIRA 1;;A JD. I PADROEIRA;;;OSASCO;SP;BRASIL
1004689567;53.250.544.000.178;KI MASSAS AVES E OVOS LTDA ME;KI MASSAS AVES E OVOS;R LUIZ HENRIQUE DE OLIVEIRA 49;VL QUITAUNA;OSASCO;SP;6186130;11;36083440;36950566;THEREZINHA B MADEIRA;5812;Restaurantes;17/06/2019 - SOFIE;6186130;;R LUIZ HENRIQUE DE OLIVEIRA 49;;VL QUITAUNA;;;OSASCO;SP;BRASIL
1004767290;67.249.615.000.127;CASA DE CARNES LHP LTDA;CASA DE CARNES LHP;R MARIA CARVALHO DE LIMA 619;JARDIM IMPERIAL HELENA MARIA;OSASCO;SP;6260100;11;36865203;67918631;JOSE PAULO ANTUNES;5422;Comidas Congeladas;17/06/2019 - SOFIE;6260100;;R MARIA CARVALHO DE LIMA 619;;JARDIM IMPERIAL HELENA MARIA;;;OSASCO;SP;BRASIL
1004956670;54.864.186.000.156;SKINA DA MATRIZ PAES E DOCES LTD;SKINA DA MATRIZ;R ANTONIO AGU 1294;CENTRO;OSASCO;SP;6093008;11;36839267;996066663;EDSON FERREIRA PESSOA;5462;Padarias;17/06/2019 - SOFIE;6093008;;R ANTONIO AGU 1294;;CENTRO;;;OSASCO;SP;BRASIL
1004957804;43.957.216.000.152;MERCADINHO HARUAKI LTDA;SUPERMERCADO YAMASHITA;R AGOSTINHO NAVARRO 668;JD MARIA TEREZA CONCEICAO;OSASCO;SP;6140000;11;36052772;0;HARUO YAMASHITA;5411;Mercearias e Supermercados;17/06/2019 - SOFIE;6140000;;R AGOSTINHO NAVARRO 668;;JD MARIA TEREZA CONCEICAO;;;OSASCO;SP;BRASIL
1005781440;54.512.850.000.106;COM DE GENEROS ALIMENT EMA LTDA;SUPERMERCADO EMA;AV JOAO VENTURA DOS SANTOS 2177;JD BARONESA;OSASCO;SP;6263100;11;36861163;86793734;CARLOS ALBERTO DOS SANTOS;5411;Mercearias e Supermercados;17/06/2019 - SOFIE;6263100;;AV JOAO VENTURA DOS SANTOS 2177;;JD BARONESA;;;OSASCO;SP;BRASIL
1005958812;96.651.765.000.160;DOCERIAS ASTURIAS LTDA ME;ASTURIAS;R TENENTE AVELAR PIRES DE AZEVEDO 367;CENTRO;OSASCO;SP;6016065;11;36826460;0;MARCIA REJANE DA SILVA VILELA;5441;Docerias e Confeitarias;17/06/2019 - SOFIE;6016065;;R TENENTE AVELAR PIRES DE AZEVEDO 367;;CENTRO;;;OSASCO;SP;BRASIL
1006355070;3.760.450.000.170;AUTO POSTO SAINT GERMAIN LTDA;AUTO POSTO S GERMAIN-SHELL;AV DOS AUTONOMISTAS 3840;CENTRO;OSASCO;SP;6090015;11;46231129;36540290;ALCIDES PEREIRA DA SILVA;5541;Postos de Gasolina;17/06/2019 - SOFIE;6090015;;AV DOS AUTONOMISTAS 3840;;CENTRO;;;OSASCO;SP;BRASIL
1006452300;17.266.000.147;MARCO ANTONIO CEZERO ME;CASA DE CARNES PIPER;AV JAGUARIBE 445;JAGUARIBE;OSASCO;SP;6050020;11;36913314;36555420;MARCO ANTONIO CEZERO;5422;Comidas Congeladas;17/06/2019 - SOFIE;6050020;;AV JAGUARIBE 445;;JAGUARIBE;;;OSASCO;SP;BRASIL
1079032875;17.266.000.147;MARCO ANTONIO CEZERO ME;CASA DE CARNES PIPER;AV JAGUARIBE 445;JAGUARIBE;OSASCO;SP;6050020;11;36913314;36555420;MARCO ANTONIO CEZERO;5422;Comidas Congeladas;17/06/2019 - SOFIE;6050020;;AV JAGUARIBE 445;;JAGUARIBE;;;OSASCO;SP;BRASIL
1006540501;4.520.472.000.126;COMERCIAL ALIMENTOS SOMA LT;SUPERMERCADO MARACANA;R GEN NELSON BRAGA MOREIRA 6;VILA YOLANDA;OSASCO;SP;6124260;11;83246816;45561877;KIOKO KIMURA SOMA;5499;Miscelâneas - Conveniência / Delicatessens;17/06/2019 - SOFIE;6124260;;R GEN NELSON BRAGA MOREIRA 6;;VILA YOLANDA;;;OSASCO;SP;BRASIL
1006626082;3.614.341.000.145;ELIZANGELA FERREIRA DURAES ME;CASA DE CARNES SKEMA;AV PRESTES MAIA 281;JD D ABRIL JARDIM D ABRIL;OSASCO;SP;6040010;11;35917553;0;ELIZANGELA FERREIRA D BARBOSA;5422;Comidas Congeladas;17/06/2019 - SOFIE;6040010;;AV PRESTES MAIA 281;;JD D ABRIL JARDIM D ABRIL;;;OSASCO;SP;BRASIL
1006869589;3.025.181.000.107;FLORISVALDO S SANTOS CARNES EPP;CENTER AMIGOS;R CLOTILDE GALESI 30;VL OSASCO VILA OSASCO;OSASCO;SP;6083090;11;36828212;36541456;FLORIDVALDO SILVA DOS SANTOS;5422;Comidas Congeladas;17/06/2019 - SOFIE;6083090;;R CLOTILDE GALESI 30;;VL OSASCO VILA OSASCO;;;OSASCO;SP;BRASIL
1107372299;3.025.181.000.107;FLORISVALDO SILVA DOS SANTOS CAR;FLORISVALDO SILVA DOS SANTOS CAR;R CLOTILDE GALESI,30;VL OSASCO;OSASCO;SP;6083090;11;36828212;36541456;FLORISVALDO SILVA DOS SANTOS;5422;Comidas Congeladas;17/06/2019 - SOFIE;6083090;;R CLOTILDE GALESI 30;;VL OSASCO;;;OSASCO;SP;BRASIL
1007530895;3.032.221.000.130;VERONICA MAITAN;MERCADO VERONICA LTDA - ME;PC 8 DE MAIO DE 1965;1965 11 VL OSASCO VILA OSASCO;OSASCO;SP;6086160;11;36850344;0;VERONICA MAITAN;5422;Comidas Congeladas;17/06/2019 - SOFIE;6086160;;PC 8 DE MAIO DE 1965;;11 VL OSASCO VILA OSASCO;;;OSASCO;SP;BRASIL
1079906484;4.505.926.000.190;FERNANDO AMORIM RAMOS ME;CASA CARNE N ESPERANCA;R.  CAMPINA GRANDE 383;ROCHDALE;OSASCO;SP;6223090;11;36968179;1;FERNANDO AMORIM RAMOS;5422;Comidas Congeladas;17/06/2019 - SOFIE;6223090;;R.  CAMPINA GRANDE 383;;ROCHDALE;;;OSASCO;SP;BRASIL
1007647687;4.505.926.000.190;FERNANDO AMORIM RAMOS ME;CASA CARNE N ESPERANCA;R CAMPINA GRANDE 383;ROCHDALE;OSASCO;SP;6223090;11;36968179;1;FERNANDO AMORIM RAMOS;5422;Comidas Congeladas;17/06/2019 - SOFIE;6223090;;R CAMPINA GRANDE 383;;ROCHDALE;;;OSASCO;SP;BRASIL
1007647865;45.469.095.000.125;PONTO LOJAS DE CONVENIENCIA LTDA;PONTO LOJAS DE CONVENI;R DONA PRIMITIVA VIANCO 987;CENTRO;OSASCO;SP;6010007;11;36822503;999052271;MARCOS ROGERIO SIANI;4225;Armazém Público;17/06/2019 - SOFIE;6010007;;R DONA PRIMITIVA VIANCO 987;;CENTRO;;;OSASCO;SP;BRASIL
1007647903;1.912.025.000.124;WALDEMAR G DE ARAUJO MINIMERC ME;CASA DE CARNE MERCEARI;AV SANTO ANTONIO 1101;BELA VISTA VILA OSASCO;OSASCO;SP;6086070;11;36836599;999763246;WALDEMAR GALVAO DE ARAUJO;5411;Mercearias e Supermercados;17/06/2019 - SOFIE;6086070;;AV SANTO ANTONIO 1101;;BELA VISTA VILA OSASCO;;;OSASCO;SP;BRASIL
1007728130;5.338.625.000.181;CHEIRO FRUTAS COM HORTI FRUTI LT;SAO FRA COM HORTI FRUT;RUA MANOEL JOSE DE SANTANA 347;VILA YARA VILA YARA;OSASCO;SP;6020060;11;37665311;0;JOSE ERASMO DE OLIVEIRA;5411;Mercearias e Supermercados;17/06/2019 - SOFIE;6020060;;RUA MANOEL JOSE DE SANTANA 347;;VILA YARA VILA YARA;;;OSASCO;SP;BRASIL
1007868560;4.184.889.000.165;AUTO POSTO JARDIM ESTHER LTDA;A POSTO JARDIM ESTHER;AV PADRE VICENTE MELILLO 539;JD D ABRIL UMUARAMA;OSASCO;SP;6036010;11;36833864;30897999;ARLINDO SERAFIM;5541;Postos de Gasolina;17/06/2019 - SOFIE;6036010;;AV PADRE VICENTE MELILLO 539;;JD D ABRIL UMUARAMA;;;OSASCO;SP;BRASIL
1007982346;5.309.336.000.154;LANC FRUT DANTE BATTISTON LT ME;DANTE;R DANTE BATTISTON 183;CENTRO;OSASCO;SP;6013030;11;36542425;37144877;RISOCLEIDE BARRETO DE LUCENA;5499;Miscelâneas - Conveniência / Delicatessens;17/06/2019 - SOFIE;6013030;;R DANTE BATTISTON 183;;CENTRO;;;OSASCO;SP;BRASIL
1007992120;848.371.000.128;PASTOR RODRIGUES E GUIMARAES LTD;PAOZRIA;AV DIONYSIA ALVES BARRETO 288;VL OSASCO VILA OSASCO;OSASCO;SP;6086040;11;36835409;36990109;ROBERTO MARCILIO RODRIGUES;5462;Padarias;17/06/2019 - SOFIE;6086040;;AV DIONYSIA ALVES BARRETO 288;;VL OSASCO VILA OSASCO;;;OSASCO;SP;BRASIL
1007998331;54.306.394.000.130;PAES E DOCES SCALA LTDA;PAES E DOCES SCALA;AV SAO JOSE 720;V SAO JOSE AYROSA;OSASCO;SP;6283120;11;36965666;0;WALTER CASTILHO;5462;Padarias;17/06/2019 - SOFIE;6283120;;AV SAO JOSE 720;;V SAO JOSE AYROSA;;;OSASCO;SP;BRASIL
1008006880;53.223.194.000.150;ALVARO STELA OSASCO ME;CASA DE CARNE STELA;AV SANTIAGO RODILHA 396;JD VELOSO;OSASCO;SP;6154000;11;36090179;84934356;ALVARO ESTELA;5499;Miscelâneas - Conveniência / Delicatessens;17/06/2019 - SOFIE;6154000;;AV SANTIAGO RODILHA 396;;JD VELOSO;;;OSASCO;SP;BRASIL
1008008556;833.413.000.157;CASA DE CARNES E ROTIS GIOVANNA;CASA DE CARNES MARQUES;AV DOS REMEDIOS 995;REMEDIOS;OSASCO;SP;6298006;11;36968188;36968188;CARLA REGINA ALVES GONCALVES;5422;Comidas Congeladas;17/06/2019 - SOFIE;6298006;;AV DOS REMEDIOS 995;;REMEDIOS;;;OSASCO;SP;BRASIL
1018503436;9.122.218.000.193;EMPORIO VICENTE & ALMEIDA LTDA M;EMPORIO NATAN;AV CESAR ABRAAO 36;VILA OSASCO;OSASCO;SP;6086170;11;36820907;86000722;JOAO GILBERTO DE ALMEIDA;5411;Mercearias e Supermercados;17/06/2019 - SOFIE;6086170;;AV CESAR ABRAAO 36;;VILA OSASCO;;;OSASCO;SP;BRASIL
1020078720;9.420.922.000.122;SUPERMERCADO NATAN LTDA EPP;SUPERMERCADO NATAN;AV DOS TRABALHADORES 41;JD CONCEICAO;OSASCO;SP;6145120;11;36054337;0;CICERO VICENTE FERREIRA;5411;Mercearias e Supermercados;17/06/2019 - SOFIE;6145120;;AV DOS TRABALHADORES 41;;JD CONCEICAO;;;OSASCO;SP;BRASIL
1010657540;49.765.449.000.130;PAES E MERCADO ADALGIZA LTDA;MERCADO ADALGISA;AV GUSTAVO BERTHIER 37;ADALGISA;OSASCO;SP;6030140;11;36834700;986000722;CICERO VICENTE FERREIRA;5411;Mercearias e Supermercados;17/06/2019 - SOFIE;6030140;;AV GUSTAVO BERTHIER 37;;ADALGISA;;;OSASCO;SP;BRASIL
